node1, 0.000 0.000 miliseconds
node2, 0.908 1.694 miliseconds
node3, 0.472 1.881 miliseconds
node4, -0.690 2.280 miliseconds
node5, 0.204 1.699 miliseconds
node6, 0.493 1.545 miliseconds
node7, 0.309 1.789 miliseconds
node8, -0.261 2.241 miliseconds
node9, 0.854 2.236 miliseconds
node10, 0.827 1.705 miliseconds
node11, 1.112 1.838 miliseconds
node12, 0.394 1.902 miliseconds
node13, -0.054 1.739 miliseconds
node14, -0.407 2.365 miliseconds
node15, 0.776 2.235 miliseconds
node16, -0.022 2.710 miliseconds
node17, -0.427 2.011 miliseconds
node18, 0.922 2.201 miliseconds
node19, -0.516 1.890 miliseconds
node20, -1.135 2.322 miliseconds
node21, -0.342 2.177 miliseconds
node22, 0.282 1.546 miliseconds
node23, 1.763 1.342 miliseconds
node24, 0.476 1.772 miliseconds
node25, 0.049 2.212 miliseconds
node26, -1.144 2.636 miliseconds
node27, -0.059 1.787 miliseconds
node28, -1.170 2.666 miliseconds
node29, 0.383 1.807 miliseconds
node30, -0.599 2.508 miliseconds
node31, -1.247 2.568 miliseconds
node32, 0.789 2.291 miliseconds
